audit,strategy,protected_attribute,metric,mean_value,n_models_significant,n_models
benefits_denial,post_processing,sex,equal_opportunity_diff,0.14904909332153912,3,3
benefits_denial,post_processing,sex,equalized_odds_diff,0.14904909332153912,3,3
benefits_denial,post_processing,sex,predictive_parity_diff,-0.4137682069396383,3,3
benefits_denial,post_processing,sex_x_age,intersectional_demographic_parity_diff,0.016262353998203055,0,3
benefits_denial,post_processing,sex_x_national_origin,intersectional_demographic_parity_diff,0.001891131938128866,0,3
benefits_denial,post_processing,sex_x_race,intersectional_demographic_parity_diff,-0.037241591767156024,2,3
benefits_denial,unawareness,age,accuracy_equality_diff,-0.04677223492030639,3,3
benefits_denial,unawareness,age,demographic_parity_diff,0.03264794113499569,1,3
benefits_denial,unawareness,age,disparate_impact_ratio,1.2470800632583385,1,3
benefits_denial,unawareness,age,equal_opportunity_diff,-0.023809523809523836,1,3
benefits_denial,unawareness,age,equalized_odds_diff,-0.023809523809523836,1,3
benefits_denial,unawareness,age,predictive_parity_diff,0.010255092573285903,0,3
benefits_denial,unawareness,age_x_race,intersectional_demographic_parity_diff,-0.03197226502311249,1,3
benefits_denial,unawareness,national_origin,accuracy_equality_diff,0.043289999001896416,3,3
benefits_denial,unawareness,national_origin,demographic_parity_diff,-0.018248744052966042,0,3
benefits_denial,unawareness,national_origin,disparate_impact_ratio,0.8877596449257337,0,3
benefits_denial,unawareness,national_origin,equal_opportunity_diff,0.06028174723826896,0,3
benefits_denial,unawareness,national_origin,equalized_odds_diff,0.06028174723826896,0,3
benefits_denial,unawareness,national_origin,predictive_parity_diff,0.02064211122554771,0,3
benefits_denial,unawareness,national_origin_x_age,intersectional_demographic_parity_diff,0.01387923306317349,0,3
benefits_denial,unawareness,national_origin_x_race,intersectional_demographic_parity_diff,-0.03589805049536592,0,3
benefits_denial,unawareness,race,accuracy_equality_diff,0.07668789682095241,3,3
benefits_denial,unawareness,race,demographic_parity_diff,-0.07439812637044005,3,3
benefits_denial,unawareness,race,disparate_impact_ratio,0.5855966771257153,3,3
benefits_denial,unawareness,race,equal_opportunity_diff,0.004486316733961456,0,3
benefits_denial,unawareness,race,equalized_odds_diff,0.0018671106229752044,1,3
benefits_denial,unawareness,race,predictive_parity_diff,-0.1254945601049893,2,3
benefits_denial,unawareness,sex,accuracy_equality_diff,0.12185237581867843,3,3
benefits_denial,unawareness,sex,demographic_parity_diff,-0.14469710850800607,3,3
benefits_denial,unawareness,sex,disparate_impact_ratio,0.3278798571770218,3,3
benefits_denial,unawareness,sex,equal_opportunity_diff,-0.08745392893999704,2,3
benefits_denial,unawareness,sex,equalized_odds_diff,-0.09912181579639918,3,3
benefits_denial,unawareness,sex,predictive_parity_diff,-0.07544388406070422,1,3
benefits_denial,unawareness,sex_x_age,intersectional_demographic_parity_diff,-0.1266675223548539,3,3
benefits_denial,unawareness,sex_x_national_origin,intersectional_demographic_parity_diff,-0.16254839921798844,3,3
benefits_denial,unawareness,sex_x_race,intersectional_demographic_parity_diff,-0.15860684941753575,3,3
benefits_denial,unawareness_proxy_removal,age,accuracy_equality_diff,-0.050679749075034995,3,3
benefits_denial,unawareness_proxy_removal,age,demographic_parity_diff,0.02891517358500902,3,3
benefits_denial,unawareness_proxy_removal,age,disparate_impact_ratio,1.3209392061355751,3,3
benefits_denial,unawareness_proxy_removal,age,equal_opportunity_diff,0.00036231884057968955,0,3
benefits_denial,unawareness_proxy_removal,age,equalized_odds_diff,0.013223059567258453,2,3
benefits_denial,unawareness_proxy_removal,age,predictive_parity_diff,-0.0237167779242952,0,3
benefits_denial,unawareness_proxy_removal,age_x_race,intersectional_demographic_parity_diff,-0.025906767432191165,0,3
benefits_denial,unawareness_proxy_removal,national_origin,accuracy_equality_diff,0.03775459959410451,3,3
benefits_denial,unawareness_proxy_removal,national_origin,demographic_parity_diff,0.0007695378780317406,0,3
benefits_denial,unawareness_proxy_removal,national_origin,disparate_impact_ratio,1.0087689523805936,0,3
benefits_denial,unawareness_proxy_removal,national_origin,equal_opportunity_diff,0.05725144420796598,0,3
benefits_denial,unawareness_proxy_removal,national_origin,equalized_odds_diff,0.05725144420796598,0,3
benefits_denial,unawareness_proxy_removal,national_origin,predictive_parity_diff,-0.03863975840147068,0,3
benefits_denial,unawareness_proxy_removal,national_origin_x_age,intersectional_demographic_parity_diff,0.031254383236673434,0,3
benefits_denial,unawareness_proxy_removal,national_origin_x_race,intersectional_demographic_parity_diff,0.004134707574304897,0,3
benefits_denial,unawareness_proxy_removal,race,accuracy_equality_diff,0.09874386179742001,3,3
benefits_denial,unawareness_proxy_removal,race,demographic_parity_diff,-0.04816830808363636,3,3
benefits_denial,unawareness_proxy_removal,race,disparate_impact_ratio,0.5159098690343452,3,3
benefits_denial,unawareness_proxy_removal,race,equal_opportunity_diff,0.018727636805304797,0,3
benefits_denial,unawareness_proxy_removal,race,equalized_odds_diff,0.013802136932796923,0,3
benefits_denial,unawareness_proxy_removal,race,predictive_parity_diff,-0.033616417399253175,0,3
benefits_denial,unawareness_proxy_removal,sex,accuracy_equality_diff,0.12902166239838872,3,3
benefits_denial,unawareness_proxy_removal,sex,demographic_parity_diff,-0.05987932349569835,3,3
benefits_denial,unawareness_proxy_removal,sex,disparate_impact_ratio,0.4762769563306031,3,3
benefits_denial,unawareness_proxy_removal,sex,equal_opportunity_diff,0.013312693498452008,0,3
benefits_denial,unawareness_proxy_removal,sex,equalized_odds_diff,0.013312693498452008,0,3
benefits_denial,unawareness_proxy_removal,sex,predictive_parity_diff,-0.17660309153776163,3,3
benefits_denial,unawareness_proxy_removal,sex_x_age,intersectional_demographic_parity_diff,-0.04426902836606341,2,3
benefits_denial,unawareness_proxy_removal,sex_x_national_origin,intersectional_demographic_parity_diff,-0.06924396473323931,3,3
benefits_denial,unawareness_proxy_removal,sex_x_race,intersectional_demographic_parity_diff,-0.07553630411760305,3,3
compas,baseline,race,accuracy_equality_diff,-0.0563920742455977,3,3
compas,baseline,race,demographic_parity_diff,0.8618377546152697,3,3
compas,baseline,race,disparate_impact_ratio,503.6659593564652,3,3
compas,baseline,race,equal_opportunity_diff,0.9164840897235264,3,3
compas,baseline,race,equalized_odds_diff,0.9164840897235264,3,3
compas,baseline,race,predictive_parity_diff,0.15344411767598073,1,3
compas,in_processing,race,accuracy_equality_diff,-0.22565786914479577,3,3
compas,in_processing,race,demographic_parity_diff,0.005410158609266792,0,3
compas,in_processing,race,disparate_impact_ratio,1.0326597233862516,0,3
compas,in_processing,race,equal_opportunity_diff,-0.06518518518518517,3,3
compas,in_processing,race,equalized_odds_diff,-0.06518518518518517,3,3
compas,in_processing,race,predictive_parity_diff,0.14744422747451805,3,3
compas,post_processing,race,accuracy_equality_diff,0.08560897809935038,3,3
compas,post_processing,race,demographic_parity_diff,0.012441829278529548,0,3
compas,post_processing,race,disparate_impact_ratio,1.0178992019009394,0,3
compas,post_processing,race,equal_opportunity_diff,-0.0813249869587898,3,3
compas,post_processing,race,equalized_odds_diff,-0.0813249869587898,3,3
compas,post_processing,race,predictive_parity_diff,0.25957394413475837,3,3
compas,unawareness,race,accuracy_equality_diff,0.017222935387248617,0,3
compas,unawareness,race,demographic_parity_diff,0.16748663583336912,3,3
compas,unawareness,race,disparate_impact_ratio,1.3503288781676976,3,3
compas,unawareness,race,equal_opportunity_diff,0.11901930099113196,3,3
compas,unawareness,race,equalized_odds_diff,0.14113156662623963,3,3
compas,unawareness,race,predictive_parity_diff,0.26119509178608497,3,3
compas,unawareness_proxy_removal,race,accuracy_equality_diff,0.10348604619262007,3,3
compas,unawareness_proxy_removal,race,demographic_parity_diff,0.15088405165089172,3,3
compas,unawareness_proxy_removal,race,disparate_impact_ratio,1.2171821673936052,3,3
compas,unawareness_proxy_removal,race,equal_opportunity_diff,0.051069379238393275,3,3
compas,unawareness_proxy_removal,race,equalized_odds_diff,0.1431870428706656,3,3
compas,unawareness_proxy_removal,race,predictive_parity_diff,0.2472914324918619,3,3
german_credit_lending,baseline,age,accuracy_equality_diff,-0.0994947818711509,0,3
german_credit_lending,baseline,age,demographic_parity_diff,-0.0832687981708891,1,3
german_credit_lending,baseline,age,disparate_impact_ratio,0.9007158680552311,1,3
german_credit_lending,baseline,age,equal_opportunity_diff,-0.0935672514619883,1,3
