audit,strategy,model,metric,value,ci_low,ci_high,n
healthcare_readmission,unawareness_proxy_removal,gradient_boosting,f1,0.001784121320249777,0.0,0.004523096624353709,19899
healthcare_readmission,in_processing,logistic_regression,accuracy,0.887481783004171,0.8831084476606864,0.8918036082215187,19899
healthcare_readmission,in_processing,logistic_regression,auc,0.5004450049045183,,,19899
healthcare_readmission,in_processing,logistic_regression,f1,0.00267260579064588,0.0,0.00612216125575983,19899
healthcare_readmission,in_processing,random_forest,accuracy,0.8872807678777828,0.8829086888788381,0.8915523393135334,19899
healthcare_readmission,in_processing,random_forest,auc,0.5007228051361748,,,19899
healthcare_readmission,in_processing,random_forest,f1,0.004438526409232135,0.0009008401932930236,0.008865740521942963,19899
healthcare_readmission,in_processing,gradient_boosting,accuracy,0.8875320367857681,0.8831599577868234,0.8918048645660587,19899
healthcare_readmission,in_processing,gradient_boosting,auc,0.5002778002316564,,,19899
healthcare_readmission,in_processing,gradient_boosting,f1,0.001784121320249777,0.0,0.004523096624353709,19899
healthcare_readmission,post_processing,logistic_regression,accuracy,0.8877330519121563,0.8834112266948088,0.892004623347907,19899
healthcare_readmission,post_processing,logistic_regression,auc,,,,19899
healthcare_readmission,post_processing,logistic_regression,f1,0.0,0.0,0.0,19899
healthcare_readmission,post_processing,random_forest,accuracy,0.8877330519121563,0.8834112266948088,0.892004623347907,19899
healthcare_readmission,post_processing,random_forest,auc,,,,19899
healthcare_readmission,post_processing,random_forest,f1,0.0,0.0,0.0,19899
healthcare_readmission,post_processing,gradient_boosting,accuracy,0.8877330519121563,0.8834112266948088,0.892004623347907,19899
healthcare_readmission,post_processing,gradient_boosting,auc,,,,19899
healthcare_readmission,post_processing,gradient_boosting,f1,0.0,0.0,0.0,19899
insurance_denial,baseline,logistic_regression,accuracy,0.7677902621722846,0.7153558052434457,0.8164794007490637,267
insurance_denial,baseline,logistic_regression,auc,0.7808326787117046,,,267
insurance_denial,baseline,logistic_regression,f1,0.7256637168141593,0.6571245421245423,0.7854401287060445,267
insurance_denial,baseline,random_forest,accuracy,0.7677902621722846,0.7153558052434457,0.8202247191011236,267
insurance_denial,baseline,random_forest,auc,0.8193524856918415,,,267
insurance_denial,baseline,random_forest,f1,0.735042735042735,0.6666666666666667,0.7984584980237153,267
insurance_denial,baseline,gradient_boosting,accuracy,0.7677902621722846,0.7190074906367042,0.8164794007490637,267
insurance_denial,baseline,gradient_boosting,auc,0.8339131410616093,,,267
insurance_denial,baseline,gradient_boosting,f1,0.7304347826086957,0.663551401869159,0.7913089731729881,267
insurance_denial,unawareness,logistic_regression,accuracy,0.7715355805243446,0.7191011235955056,0.8202247191011236,267
insurance_denial,unawareness,logistic_regression,auc,0.7811693412636068,,,267
insurance_denial,unawareness,logistic_regression,f1,0.7312775330396476,0.6605504587155964,0.7929589769326566,267
insurance_denial,unawareness,random_forest,accuracy,0.7677902621722846,0.7191011235955056,0.8164794007490637,267
insurance_denial,unawareness,random_forest,auc,0.8142183817753338,,,267
insurance_denial,unawareness,random_forest,f1,0.735042735042735,0.6697653372619173,0.7944017059135616,267
insurance_denial,unawareness,gradient_boosting,accuracy,0.7790262172284644,0.7265917602996255,0.8277153558052435,267
insurance_denial,unawareness,gradient_boosting,auc,0.8367467175401191,,,267
